id	question	option1	option2	option3	option4	correctIndex	explanation	bigTopic	module	theme	subtheme	type	imageFile
post_seq_survey_02	How does 'Multiplexing' (ie barcoding) lower the cost of microbiome studies?	It reduces the need for PCR amplification in the library preparation step	It reduces the cost by allowing sequencing of multiple samples in the same lane	It improves the quality of the sequencing data across all samples	It makes the sequencing run significantly faster	2	A single flow cell lane is expensive but produces millions of reads. Multiplexing lets you split that one cost across 96 or 384 samples.	16S	QIIME2	Amplicon sequencing	Sequencing	survey	
prop_q2_arch_01	What is the fundamental purpose of a QIIME 2 'Plugin'?	To visualize data in a web browser	To manage the conda environment	"To provide a specific set of related commands (e.g., 'demux' or 'diversity')"	To store the raw sequencing data	3	QIIME 2 is a modular system; plugins are the specific toolkits (like `q2-dada2`) that perform the actual analysis tasks.	16S	QIIME2	QIIME Foundations	Import & Architecture	property	
prop_q2_arch_04	What is the correct syntax structure for running any QIIME 2 command?	qiime <action> <plugin> <options>	qiime <plugin> <action> <options>	run <plugin> <action> <options>	call <action> <plugin> <options>	2	Commands always follow the hierarchy: `qiime` (program) -> `plugin` (toolset) -> `action` (specific task).	16S	QIIME2	QIIME Foundations	Import & Architecture	property	
mile_q2_arch_03	"Look at this incorrect code snippet: `qiime import --type EMPSingleEndSequences ...`. Why does this return ""command not found""?"	It is missing the `tools` plugin name	It is missing the input path	It is missing the output path	It is missing the file extension	1	"QIIME 2 is organized into plugins; `import` is an action belonging to the `tools` plugin, so you must type `qiime tools import`."	16S	QIIME2	QIIME Foundations	Import & Architecture	milestone	
prop_tax_bio_04	What biological process does the `extract-reads` step simulate on the computer?	The sequencing reaction	The PCR amplification	The bacterial growth	The DNA extraction	2	"It identifies the primer binding sites in the reference sequences and ""amplifies"" (extracts) only the target region."	16S	QIIME2	Taxonomic diversity	Taxonomy	property	
prop_seq_mech_01	"What is the correct order of the four basic steps in the 16S sequencing workflow, from sample collection to QIIME2/R?"	"Sequencing, Sample Prep, Cluster Generation, Data Analysis"	"Sample Prep, Cluster Generation, Sequencing, Data Analysis"	"Sample Prep, Sequencing, Cluster Generation, Data Analysis"	"Cluster Generation, Sample Prep, Sequencing, Data Analysis"	2	"The workflow must proceed logically: prepare the DNA (Sample Prep), attach and amplify it on the flow cell (Cluster Gen), read the bases (Sequencing), and finally process the results (Data Analysis)."	16S	QIIME2	Amplicon sequencing	Sequencing	property	
prop_seq_mech_06	How does 'Paired-End' sequencing differ from single-end sequencing?	It sequences two different samples at once	It sequences DNA and RNA simultaneously	It sequences the same strand twice	It sequences both ends of a DNA fragment	4	"Paired-end sequencing reads the fragment from the 5' end, flips it over (turnaround), and reads it again from the 3' end to provide coverage of both sides."	16S	QIIME2	Amplicon sequencing	Sequencing	property	
prop_seq_mech_08	On what physical surface does the Illumina sequencing reaction take place?	A silicon microchip	A flow cell	A plastic microplate	A magnetic bead	2	The reaction occurs on a glass flow cell coated with a lawn of oligonucleotides (P5/P7) that capture the library.	16S	QIIME2	Amplicon sequencing	Sequencing	property	
prop_seq_mech_10	What constitutes a 'Cluster' on the Illumina sequencer's flow cell?	A group of identical strands derived from one template	A group of different DNA fragments from one sample	A single DNA strand attached to an oligo	A group of sequencing primers bound together	1	"A cluster is a colony of thousands of identical DNA strands generated from a single library fragment, providing enough signal intensity for the camera to see."	16S	QIIME2	Amplicon sequencing	Sequencing	property	
mile_seq_mech_01	"You need to sequence the V3-V4 region (~460 bp). Which sequencing approach ensures that the reads will overlap, thus capturing the entire region?"	Paired-end 150 bp	Single-end 300 bp	Paired-end 300 bp	Single-end 400 bp	3	"To cover 460bp with overlap, you need a total read length > 460bp. Paired-end 300bp (300+300=600bp) is the only option that bridges the gap."	16S	QIIME2	Amplicon sequencing	Sequencing	milestone	
mile_seq_mech_04	Why do we add unique barcodes to samples before pooling them for a single run?	To improve the quality scores of the run	To increase the total amount of DNA	To allow us to demultiplex the samples in QIIME2	To physically separate them in the lane	3	"Pooling lowers cost, but mixes the physical DNA; unique indices allow the computer to digitally separate the data back into individual samples."	16S	QIIME2	Amplicon sequencing	Sequencing	milestone	
mile_seq_mech_08	What is an advantage of Paired-End sequencing over Single-End sequencing?	It can cover larger variable regions	It is significantly cheaper	It produces twice as many clusters	It is faster to run	1	"Paired-end sequencing allows you to merge reads to cover larger gene regions (like V3-V4), providing more sequence information for accurate taxonomy assignment."	16S	QIIME2	Amplicon sequencing	Sequencing	milestone	
