id	question	option1	option2	option3	option4	correctIndex	explanation	bigTopic	module	theme	subtheme	type
q001	"Which extraction method is generally most effective for Gram-positive bacteria, and why?"	"Chemical lysis only, because it is gentle."	"Mechanical bead beating, because it physically disrupts the thick cell wall."	"Heat shock, because it makes the membrane porous."	"Ethanol precipitation, because it purifies the DNA."	2	Gram-positive bacteria have thick walls; bead beating provides needed physical disruption.	16S	"Overview,Study"	Sample Prep	Extraction	property
q002	What is a 'chimera' in the context of 16S rRNA gene amplification?	A hybrid artifact sequence formed from two different templates.	A viral DNA sequence integrated into a host genome.	A primer-dimer artifact caused by low template concentration.	A sequencing error at the adapter ligation site.	1	Chimeras form when partially extended amplicons re-anneal to different templates.	16S	Overview	Sample Prep	Extraction	property
q003	"In low-biomass microbiome studies, why is a negative control scientifically critical?"	To measure total DNA concentration.	To identify kitome contaminants mistaken for signal.	To calibrate flow cell optics.	To increase observed diversity.	2	Negatives reveal reagent contaminants present in extraction kits.	16S	Overview	Sample Prep	Quality Control	property
q004	"When assessing DNA purity, what does a 260/280 ratio of ~1.8 indicate?"	Heavy RNA contamination.	Significant protein contamination.	Relatively pure DNA.	Severe DNA shearing.	3	A ratio near 1.8 indicates pure DNA.	16S	Overview	Sample Prep	Quality Control	property
q005	"If your DNA sample shows a 260/280 ratio of 1.4, what is most likely contaminating it?"	High RNA	Residual protein	High salt	Pure DNA	2	Low 260/280 suggests protein or phenol contamination.	16S	Overview	Sample Prep	Milestone	milestone
q006	What is the primary risk of too many PCR cycles during library prep?	Higher fidelity sequences	More chimeras and bias	Longer reads	Reduced DNA yield	2	Extra cycles increase chimera formation and bias.	16S	Overview	Sample Prep	Milestone	milestone
q007	Why is the V4 region often used for 16S sequencing on Illumina?	It is the only variable region	It produces longer reads	It allows full overlap of paired-end reads	It encodes antibiotic resistance	3	"Typical read lengths fully overlap V4, aiding denoising."	16S	Overview	Sequencing	Library Prep	property
q008	What is the primary function of an index read?	Taxonomic identification	Multiplexing many samples	Calibrating laser intensity	Acting as a primer binding site	2	Indices allow demultiplexing many samples in one run.	16S	Overview	Sequencing	Library Prep	property
q009	What phenomenon causes 'phasing' errors during an Illumina run?	Molecules losing synchrony	Laser overheating	Barcode mismatch	Primer dimers	1	Unsynchronized extension leads to blurry cluster signals.	16S	Overview	Sequencing	Sequencing	property
q010	A Phred Q30 corresponds to what error probability?	10-Jan	1/100	1/1000	"1/10,000"	3	Q30 ≈ 0.1% error = 1 in 1000.	16S	Overview	Sequencing	Milestone	milestone
q011	Why is PhiX spike-in added to some 16S runs?	Increase diversity for calibration	Chemically stabilize DNA	Act as a negative control	Reduce reagent cost	1	Amplicon pools lack base diversity; PhiX fixes that.	16S	Overview	Sequencing	Milestone	milestone
q012	What is the primary advantage of DADA2 over 97% OTU clustering?	Faster	Distinguishes biological variants from errors	Uses less RAM	Does not need quality scores	2	DADA2 models sequencing error to infer ASVs.	16S	Overview	Bioinformatics	Processing	property
q013	"In a FASTQ file, what is on the 4th line?"	Sequence	Header	Quality scores	Metadata	3	Line 4 contains ASCII-encoded quality scores.	16S	Overview	Bioinformatics	Processing	property
q014	Which database is often considered gold standard for 16S taxonomy?	GenBank	SILVA	UniProt	Pfam	2	SILVA is curated for rRNA sequences.	16S	Overview	Bioinformatics	Taxonomy	property
q015	What does an ASV represent?	A 97% OTU	Exact biological sequence	A genus-level classification	A predicted function	2	ASVs represent inferred true sequences.	16S	Overview	Bioinformatics	Milestone	milestone
q016	Why is rarefaction sometimes used before computing diversity?	Remove rare species	Normalize uneven sequencing depth	Increase sample size	Log-transform counts	2	Rarefaction equalizes read depth.	16S	Overview	Statistics	Normalization	property
q017	Which alpha diversity metric accounts for richness + evenness?	Jaccard	Shannon	Bray-Curtis	UniFrac	2	Shannon considers richness and evenness.	16S	Overview	Statistics	Normalization	property
q018	What does beta diversity measure?	Within-sample richness	Differences between samples	Evenness	Total biomass	2	Beta diversity compares communities.	16S	Overview	Statistics	Diversity	property
q019	Why is microbiome data called compositional?	Because it's bacteria	Because counts are constrained	Because it's normal	Because taxa are independent	2	Relative abundances sum to a constant.	16S	Overview	Statistics	Milestone	milestone
q020	Which principle underlies Illumina sequencing?	Reversible dye terminators	Nanopore ionic current	Zero-mode waveguides	Pyrophosphate light	1	Illumina uses sequencing-by-synthesis.	16S	Overview	Sequencing	Core	core
q021	Primary advantage of Nanopore sequencing?	Highest accuracy	Ultra-long reads	Highest data output	No computing needed	2	Nanopore produces ultra-long reads.	16S	Overview	Sequencing	Core	core
q022	How does PacBio HiFi achieve accuracy?	Short fragments	CCS reading same molecule	Chemical cleavage	Amplified signal	2	CCS averages many passes of the same molecule.	16S	Overview	Sequencing	Core	core
q023	Roche 454 relied on detecting what signal?	pH change	Pyrophosphate light	Electron tunneling	Fluorescent dyes	2	Pyrosequencing releases light.	16S	Overview	Sequencing	Core	core
q024	Roche 454 relied on detecting what signal?	pH change	Pyrophosphate light	Electron tunneling	Fluorescent dyes	2	Pyrosequencing releases light.	16S	Overview	NA	NA	pre
q025	I feel confident with 16SI feel confident with 16SI feel confident with 16SI feel confident with 16SI feel confident with 16S							"16S, Shotgun"	Overview	NA	NA	confidence
q025	I feel confident with 16SI feel confident with 16SI feel confident with 16SI feel confident with 16SI feel confident with 16S							Polpo				
